title,category
HET 7 UUR-JOURNAAL,information
HET 1 UUR-JOURNAAL,information
NIEUWS 19U VTM,information
STADION,unknown
NIEUWS 13U VTM,unknown
IEDEREEN BEROEMD,knowledge
HET JOURNAAL LAAT,information
THUIS,fiction
FAMILIE,fiction
BLOKKEN,entertainment
VAN GILS & GASTEN,unknown
DE BUURTPOLITIE,unknown
KOMEN ETEN,lifestyle
DE AFSPRAAK,unknown
NEIGHBOURS,unknown
VB. WK. KWALIF,unknown
LITTLE BIG SHOTS MET NATHALIE MESKENS,unknown
JONAS & VAN GEEL,unknown
FC DE KAMPIOENEN,fiction
WEG ZIJN WIJ,unknown
"MASTERCHEF, THE PROFESSIONALS",unknown
VILLA POLITICA,unknown
SPORTWEEKEND,sport
THE SECRET LIFE OF THE ZOO,knowledge
DE KOTMADAM,unknown
ROYALTY,unknown
DAGELIJKSE KOST,lifestyle
KARAKTERS,unknown
NAVY NCIS,fiction
DE ZEVENDE DAG,unknown
"NCIS, NEW ORLEANS",fiction
DE RECHTBANK,knowledge
AXEL OPGELICHT,unknown
EEUWIGE ROEM,unknown
CORDON,unknown
TER ZAKE,unknown
HET GOEIE LEVEN,unknown
LOSLOPEND WILD & GEVOGELTE,entertainment
NIVEAU 4,unknown
ALLOO BIJ...,unknown
RADIO GAGA,knowledge
SOFIE IN DE KEUKEN VAN...,unknown
VOOR HETZELFDE GELD,unknown
HET GROOTSTE LICHT,unknown
"HELDEN VAN HIER, DOOR HET VUUR",unknown
NIEUWE BUREN,unknown
"ZO MAN, ZO VROUW",unknown
CASTLE,unknown
MIDSOMER MURDERS,fiction
POLDARK,unknown
WIELRENNEN. WK. QATAR,unknown
TRESPASS,unknown
BEHIND ENEMY LINES,unknown
COMEDY TOPPERS,unknown
LA TREVE,unknown
VRANCKX,unknown
DE VRIJE MARKT,unknown
SPORZA,sport
"BUURMAN, WAT DOET U NU?",knowledge
EXTRA TIME,unknown
DE SLIMSTE MENS TER WERELD,entertainment
PANO,information
VB. C1 UEFA SCHIFT,unknown
TELEFACTS,unknown
HALLO TELEVISIE!,unknown
CALLBOYS,unknown
ALLOO BIJ DE WEGPOLITIE,entertainment
DE RIDDER,fiction
SAFETY FIRST,unknown
VB. C3 UEFA SCHIFT,unknown
BELGIUM'S GOT TALENT,entertainment
THE ZOO,unknown
SPOED 24/7,knowledge
DE VETSTE VAKANTIE,unknown
'T IS GEBEURD,unknown
DE IDIOTEN,unknown
SHETLAND,unknown
STURM DER LIEBE,fiction
BORDER SECURITY (CAN),unknown
KALMTE KAN U REDDEN,entertainment
CATHERINE,unknown
WAT ALS?,unknown
BILLY CONNOLLY'S TRACKS ACROSS AMERICA,unknown
AMERIKA KIEST,unknown
DE ALLESWETER,unknown
HET LICHAAM VAN COPPENS,knowledge
HET EILAND,unknown
CHICAGO FIRE,fiction
VICTORIA,unknown
SUR LES ROUTES D'USHUAIA,unknown
VLAANDEREN VAKANTIELAND,unknown
ONS EERSTE HUIS,unknown
THE SHOW MUST GO ON,unknown
VERA,fiction
SILENT WITNESS,unknown
GEERT HOSTE MAAKT HET LAND BETER,unknown
RIJKER DAN JE DENKT?,lifestyle
LOSLOPEND WILD,entertainment
DE FISCUS,unknown
"HELDEN VAN HIER, IN DE LUCHT",unknown
NICHOLAS,unknown
LOTGENOTEN,unknown
THE BLACKLIST,unknown
MET MAN EN MACHT,unknown
BRITAIN'S BUSIEST AIRPORT HEATHROW,unknown
JOANNA LUMLEY'S JAPAN,unknown
ALS DE DIJKEN BREKEN,fiction
HET HUIS,knowledge
SPECIAL FORCES,unknown
DE KEUKEN VAN SOFIE,unknown
SPORTZOMER,unknown
PLANET EARTH II,unknown
HINTERLAND,unknown
VELDRIJDEN. SCHELDECROSS,unknown
ZIJN ER NOG KROKETTEN?,unknown
THIS WILD LIFE,unknown
EXTRA NIEUWS,unknown
FAROEK,unknown
M/V VAN HET JAAR,unknown
DEZE IS VOOR JOU,unknown
BORDER SECURITY (AUS),unknown
WAUTERS & VAN GEEL IN CONCERT,unknown
VELDRIJDEN. GP. SVEN NYS,unknown
COMEDY KINGS,unknown
THE MISSING,unknown
LIGT ER FLAN OP DE MONT BLANC?,unknown
DE RECHERCHE,unknown
WIJ WILLEN OOK WERKEN,unknown
DOWNTON ABBEY,unknown
BEAU SEJOUR,fiction
SYDNEY ZOO,unknown
VELDRIJDEN. BK. OOSTENDE,unknown
NIGHT OF THE PROMS,unknown
GROETEN UIT...,lifestyle
DE IDEALE WERELD,unknown
THE WORLD'S ODDEST ANIMAL COUPLES,unknown
GASTON EN LEO,unknown
MIDNIGHT SUN,unknown
ALLEMAAL CHRIS,unknown
KROONPRINSEN,unknown
PLANET'S GOT TALENT,unknown
DE VAL VAN HET REICH,unknown
"DYNAMO, MAGICIAN IMPOSSIBLE",unknown
DE KROONGETUIGEN,unknown
"MEDICI, MASTERS OF FLORENCE",unknown
GREAT CONTINENTAL RAILWAY JOURNEYS,unknown
VELDRIJDEN. HOOGERHEIDE,unknown
AMIGO'S,unknown
WONEN.TV,unknown
DWARS DOOR AMERIKA,unknown
YOUNG VETS,unknown
EXPEDITIE AARDE,unknown
GEORGE GENTLY,fiction
VB. BB. 1/2F,unknown
MIJN POP-UP RESTAURANT,unknown
DE TOPCOLLECTIE VAN,unknown
NATURAL BORN HUSTLERS,unknown
BLIND GETROUWD,entertainment
DE KLAS,unknown
OP STRAAT,unknown
TEMPTATION ISLAND,entertainment
MAG IK U KUSSEN?,unknown
ENNEMI PUBLIC,unknown
TENNIS. FED CUP BELGIE/ROEMENIE,unknown
HOTEL ROMANTIEK,entertainment
THE SKY IS THE LIMIT,unknown
STUKKEN VAN MENSEN,unknown
WISSEL VAN DE MACHT,unknown
VB. C1 UEFA 1/8F,unknown
GEUBELS EN DE BELGEN,unknown
ASTRID,unknown
ALLES VOOR DE KOERS,unknown
CHAUSSEE D'AMOUR,unknown
VB. C3 UEFA 1/16F,unknown
VELDRIJDEN. LEUVEN,unknown
THE BAND,unknown
UP IN THE AIR,unknown
TEGEN DE STERREN OP,entertainment
"BURGERS' ZOO, DRUKTE IN DE DIERENTUIN",unknown
AUWCH,unknown
ZIE MIJ GRAAG,fiction
CATH & GASTEN,unknown
GEZOND VERSTAND,unknown
OP ZOEK NAAR FRANKRIJK,unknown
DCI BANKS,unknown
"VIRGIN ATLANTIC, UP IN THE AIR",unknown
DE WEEK VAN BRUZZ,unknown
DE ZONEN VAN VAN AS,fiction
DE KLEEDKAMER,unknown
WIELRENNEN. PARIJS-NICE,unknown
VB. C3 UEFA 1/8F,unknown
