title,year,totalOccurrences,yearlyOccurrences
CORDON,2016,2,2
CASTLE,2016,2,2
BEHIND ENEMY LINES,2016,2,2
LITTLE BIG SHOTS MET NATHALIE MESKENS,2016,6,6
WIELRENNEN. WK. QATAR,2016,4,4
EEUWIGE ROEM,2016,4,4
HALLO TELEVISIE!,2016,3,3
LA TREVE,2016,5,5
AMERIKA KIEST,2016,2,2
JONAS & VAN GEEL,2016,13,13
BILLY CONNOLLY'S TRACKS ACROSS AMERICA,2016,3,3
DE VETSTE VAKANTIE,2016,7,7
THE BLACKLIST,2016,3,3
NIEUWE BUREN,2016,6,6
THE SHOW MUST GO ON,2016,7,7
ROYALTY,2016,13,13
GEERT HOSTE MAAKT HET LAND BETER,2016,7,7
WAUTERS & VAN GEEL IN CONCERT,2016,2,2
ALS DE DIJKEN BREKEN,2017,6,1
DEZE IS VOOR JOU,2017,3,1
SPECIAL FORCES,2017,6,1
MET MAN EN MACHT,2017,5,1
ZIJN ER NOG KROKETTEN?,2017,8,2
VELDRIJDEN. BK. OOSTENDE,2017,2,2
SPORTZOMER,2017,7,2
THE WORLD'S ODDEST ANIMAL COUPLES,2017,2,2
DE FISCUS,2017,8,2
M/V VAN HET JAAR,2017,12,8
GASTON EN LEO,2017,2,1
VELDRIJDEN. HOOGERHEIDE,2017,2,2
PLANET'S GOT TALENT,2017,3,3
DE ALLESWETER,2017,13,4
LIGT ER FLAN OP DE MONT BLANC?,2017,20,20
YOUNG VETS,2017,2,2
MIDNIGHT SUN,2017,4,4
KROONPRINSEN,2017,4,4
"DYNAMO, MAGICIAN IMPOSSIBLE",2017,4,4
NATURAL BORN HUSTLERS,2017,2,2
TENNIS. FED CUP BELGIE/ROEMENIE,2017,2,2
SYDNEY ZOO,2017,7,7
THE MISSING,2017,8,7
OP STRAAT,2017,3,3
VELDRIJDEN. LEUVEN,2017,2,2
UP IN THE AIR,2017,2,1
GEZOND VERSTAND,2017,2,2
"MEDICI, MASTERS OF FLORENCE",2017,8,8
OP ZOEK NAAR FRANKRIJK,2017,3,3
"VIRGIN ATLANTIC, UP IN THE AIR",2017,2,2
ASTRID,2017,5,5
VELDLOPEN. BK. WACHTEBEKE,2017,2,2
AMIGO'S,2017,10,10
LE SANG DE LA VIGNE,2017,2,2
WONEN.TV,2017,10,10
WIELRENNEN. 3-DAAGSE DE PANNE - KOKSIJDE,2017,4,4
ITALY'S INVISIBLE CITIES,2017,3,3
IS IN HET VIZIER,2017,2,2
BART&GASTEN,2017,4,4
THE BAND,2017,13,13
TRAPPED,2017,5,5
THIS WILD LIFE,2017,12,10
DE TOPCOLLECTIE VAN,2017,3,3
"TOM BOONEN, MY RIDE, MY FIGHT, MY LIFE",2017,3,3
CHAUSSEE D'AMOUR,2017,10,10
CATH & GASTEN,2017,8,8
WIELRENNEN. BAAN WK. HONG-KONG,2017,3,3
LETHAL WEAPON,2017,3,3
MOERKERKE EN DE VROUWEN,2017,8,8
MAG IK U KUSSEN?,2017,13,12
THE LEVEL,2017,3,3
"BURGERS' ZOO, DRUKTE IN DE DIERENTUIN",2017,11,11
MIJN POP-UP RESTAURANT,2017,27,27
JOANNA LUMLEY'S TRANS-SIBERIAN ADVENTURE,2017,3,3
HET GOEIE LEVEN,2017,19,11
21 JUMP STREET,2017,2,1
THE SILK ROAD,2017,2,2
COPY BEEST,2017,7,7
RED 2,2017,2,1
PEKING EXPRESS,2017,6,6
TOPSERVICE,2017,9,9
DE LEUGENDETECTOR,2017,5,5
RED FLAMES,2017,2,2
JANI GAAT...,2017,9,9
TURKEY WITH SIMON REEVE,2017,2,2
DE UITVERKORENEN,2017,5,5
COMEDY KINGS,2017,5,4
PRO DEO,2017,4,4
KAN U DE VRAAG NOG EENS HERHALEN?,2017,3,3
TRESPASS,2017,3,1
PERFECT?,2017,7,7
THE BOURNE ULTIMATUM,2017,2,1
KEVIN MCCLOUD'S ESCAPE TO THE WILD,2017,4,4
"6 JUIN 44, LA LUMIERE DE L'AUBE",2017,2,2
THIS IS 40,2017,2,1
"PETS, WILD AT HEART",2017,2,2
SHERLOCK,2017,3,3
KARAKTERS,2017,4,1
BASKET. EK.,2017,3,2
DE IDIOTEN,2017,4,1
MADAM SECRETARY,2017,3,3
THE LAST KINGDOM,2017,3,3
TYPISCH MENSEN,2017,8,8
DE NEVEN VAN OZCAN AKYOL,2017,4,4
VLAAMSE STREKEN,2017,3,3
GREAT AMERICAN THAW,2017,2,2
CHEF IN JE OOR,2017,6,6
TOMTESTEROM,2017,6,6
VB. EK. D. SCHIFT,2017,5,5
WANTED IN PARADISE,2017,5,5
DANNY IN ARABISTAN,2017,3,3
FOLLOW THE MONEY,2017,5,5
WIELRENNEN. EK. HERNING,2017,2,2
ALLES VOOR DE KOERS,2017,10,10
WILD THAILAND,2017,3,3
ATLETIEK. WK. LONDEN (S.),2017,2,2
"TWILIGHT V, BREAKING DAWN",2017,2,2
KANGAROO DUNDEE AND OTHER ANIMALS,2017,2,2
WIELRENNEN. RONDE VAN DE BENELUX,2017,6,6
ATLETIEK. WK. LONDEN,2017,5,5
"MARTIN CLUNES, ISLANDS OF AUSTRALIA",2017,3,3
BESTE VRIENDEN,2017,9,9
IS ER WIFI IN TAHITI?,2017,2,2
THE PERFECTIONISTS,2017,2,2
WILD MEXICO,2017,2,2
DE LEUKSTE BESTE VRIENDEN,2017,3,3
CROSSING LINES,2017,10,10
JAMIE'S SUPER FOOD,2017,6,6
TEGEN DE STERREN OP LIVE,2017,3,2
PARADE'S END,2017,5,5
FIVE DAYS,2017,2,2
RICK STEIN'S LONG WEEKENDS,2017,8,8
"CRIMINAL MINDS, BEYOND BORDERS",2017,4,4
FOREVER,2017,3,3
THE WEEK DIANA DIED,2017,2,2
2 MEISJES OP HET STRAND,2017,3,3
"HITLER AND CHURCHILL, THE EAGLE AND THE LION",2017,2,2
BARCELONA VANUIT DE HEMEL,2017,2,2
SUR LES ROUTES D'USHUAIA,2017,8,6
IN ITALIE,2017,3,3
WIELRENNEN. VUELTA,2017,23,23
DANTE'S PEAK,2017,2,2
PLANEET KUIFJE,2017,13,13
WIELRENNEN. WK. BERGEN,2017,5,5
PRISON BREAK,2017,2,2
