date,title,numberOfViewers
2016-10-02,HET 7 UUR-JOURNAAL,941240
2016-10-02,HET 1 UUR-JOURNAAL,512173
2016-10-02,NIEUWS 19U VTM,505759
2016-10-02,STADION,306207
2016-10-02,NIEUWS 13U VTM,258004
2016-10-03,IEDEREEN BEROEMD,1111170
2016-10-03,HET 7 UUR-JOURNAAL,1077321
2016-10-03,NIEUWS 19U VTM,611342
2016-10-03,HET 1 UUR-JOURNAAL,379578
2016-10-03,HET JOURNAAL LAAT,370913
2016-10-03,NIEUWS 13U VTM,225549
2016-10-04,THUIS,1169791
2016-10-04,HET 7 UUR-JOURNAAL,1046574
2016-10-04,IEDEREEN BEROEMD,994410
2016-10-04,FAMILIE,744562
2016-10-04,BLOKKEN,708753
2016-10-04,NIEUWS 19U VTM,626729
2016-10-04,VAN GILS & GASTEN,448431
2016-10-04,DE BUURTPOLITIE,426895
2016-10-04,HET JOURNAAL LAAT,410451
2016-10-04,HET 1 UUR-JOURNAAL,406235
2016-10-04,NIEUWS 13U VTM,260006
2016-10-04,KOMEN ETEN,222781
2016-10-05,THUIS,1244502
2016-10-05,HET 7 UUR-JOURNAAL,1052748
2016-10-05,IEDEREEN BEROEMD,1032746
2016-10-05,BLOKKEN,721328
2016-10-05,FAMILIE,708768
2016-10-05,NIEUWS 19U VTM,642121
2016-10-05,VAN GILS & GASTEN,510403
2016-10-05,DE BUURTPOLITIE,465216
2016-10-05,HET 1 UUR-JOURNAAL,383244
2016-10-05,HET JOURNAAL LAAT,294670
2016-10-05,DE AFSPRAAK,232619
2016-10-05,NIEUWS 13U VTM,181636
2016-10-06,HET 7 UUR-JOURNAAL,1059850
2016-10-06,IEDEREEN BEROEMD,1016124
2016-10-06,BLOKKEN,777968
2016-10-06,FAMILIE,730372
2016-10-06,NIEUWS 19U VTM,659997
2016-10-06,VAN GILS & GASTEN,551544
2016-10-06,DE BUURTPOLITIE,460456
2016-10-06,HET JOURNAAL LAAT,426420
2016-10-06,HET 1 UUR-JOURNAAL,329227
2016-10-06,DE AFSPRAAK,247097
2016-10-06,NEIGHBOURS,227837
2016-10-06,KOMEN ETEN,192070
2016-10-06,NIEUWS 13U VTM,186122
2016-10-07,VB. WK. KWALIF,1158641
2016-10-07,THUIS,1156477
2016-10-07,HET 7 UUR-JOURNAAL,1002839
2016-10-07,IEDEREEN BEROEMD,906234
2016-10-07,FAMILIE,643911
2016-10-07,BLOKKEN,637955
2016-10-07,NIEUWS 19U VTM,576841
2016-10-07,DE BUURTPOLITIE,445047
2016-10-07,HET 1 UUR-JOURNAAL,392772
2016-10-07,LITTLE BIG SHOTS MET NATHALIE MESKENS,373379
2016-10-07,JONAS & VAN GEEL,247516
2016-10-07,NIEUWS 13U VTM,223694
2016-10-07,NEIGHBOURS,200413
2016-10-07,DE AFSPRAAK,166970
2016-10-08,HET 7 UUR-JOURNAAL,807864
2016-10-08,FC DE KAMPIOENEN,667650
2016-10-08,WEG ZIJN WIJ,567489
2016-10-08,IEDEREEN BEROEMD,546550
2016-10-08,NIEUWS 19U VTM,503172
2016-10-08,HET 1 UUR-JOURNAAL,341270
2016-10-08,"MASTERCHEF, THE PROFESSIONALS",298829
2016-10-08,HET JOURNAAL LAAT,255962
2016-10-08,NIEUWS 13U VTM,229316
2016-10-08,LITTLE BIG SHOTS MET NATHALIE MESKENS,200885
2016-10-08,VILLA POLITICA,196486
2016-10-09,SPORTWEEKEND,963564
2016-10-09,THE SECRET LIFE OF THE ZOO,954957
2016-10-09,HET 7 UUR-JOURNAAL,950652
2016-10-09,NIEUWS 19U VTM,526066
2016-10-09,DE KOTMADAM,515630
2016-10-09,HET 1 UUR-JOURNAAL,480735
2016-10-09,ROYALTY,424371
2016-10-09,DAGELIJKSE KOST,403167
2016-10-09,KARAKTERS,367020
2016-10-09,NAVY NCIS,284748
2016-10-09,DE ZEVENDE DAG,250611
2016-10-09,HET JOURNAAL LAAT,245032
2016-10-09,"NCIS, NEW ORLEANS",219798
2016-10-09,DE RECHTBANK,219702
2016-10-10,VB. WK. KWALIF,1411590
2016-10-10,THUIS,1315826
2016-10-10,HET 7 UUR-JOURNAAL,1049854
2016-10-10,VB. WK. KWALIF,945398
2016-10-10,BLOKKEN,760845
2016-10-10,FAMILIE,754069
2016-10-10,NIEUWS 19U VTM,690592
2016-10-10,HET JOURNAAL LAAT,522070
2016-10-10,DE BUURTPOLITIE,445913
2016-10-10,AXEL OPGELICHT,431142
2016-10-10,HET 1 UUR-JOURNAAL,399779
2016-10-10,NIEUWS 13U VTM,253075
2016-10-10,NEIGHBOURS,241441
2016-10-10,EEUWIGE ROEM,228772
2016-10-10,KOMEN ETEN,223483
2016-10-10,CORDON,216754
2016-10-10,DE AFSPRAAK,208664
2016-10-10,TER ZAKE,199130
2016-10-11,THUIS,1282508
2016-10-11,HET 7 UUR-JOURNAAL,1076435
2016-10-11,IEDEREEN BEROEMD,1022545
2016-10-11,BLOKKEN,760605
2016-10-11,HET GOEIE LEVEN,702994
2016-10-11,NIEUWS 19U VTM,662537
2016-10-11,FAMILIE,649030
2016-10-11,JONAS & VAN GEEL,583730
2016-10-11,DE RECHTBANK,580394
2016-10-11,LOSLOPEND WILD & GEVOGELTE,567478
2016-10-11,DE BUURTPOLITIE,490359
2016-10-11,VAN GILS & GASTEN,456792
2016-10-11,NIVEAU 4,447223
2016-10-11,HET JOURNAAL LAAT,433817
2016-10-11,HET 1 UUR-JOURNAAL,384017
2016-10-11,ALLOO BIJ...,304645
2016-10-11,RADIO GAGA,275935
2016-10-11,SOFIE IN DE KEUKEN VAN...,248572
2016-10-11,DE AFSPRAAK,216021
2016-10-11,KOMEN ETEN,215262
2016-10-12,THUIS,1256086
2016-10-12,IEDEREEN BEROEMD,1080989
2016-10-12,HET 7 UUR-JOURNAAL,1047522
2016-10-12,VOOR HETZELFDE GELD,941848
2016-10-12,BLOKKEN,755571
2016-10-12,FAMILIE,639957
2016-10-12,NIEUWS 19U VTM,630745
2016-10-12,VAN GILS & GASTEN,610318
2016-10-12,DE BUURTPOLITIE,515189
2016-10-12,HET GROOTSTE LICHT,498213
2016-10-12,HET 1 UUR-JOURNAAL,423488
2016-10-12,"HELDEN VAN HIER, DOOR HET VUUR",412532
2016-10-12,HET JOURNAAL LAAT,401253
2016-10-12,SOFIE IN DE KEUKEN VAN...,253838
2016-10-12,NIEUWE BUREN,241788
2016-10-12,"ZO MAN, ZO VROUW",236316
2016-10-12,NIEUWS 13U VTM,224190
2016-10-12,CASTLE,213420
2016-10-13,THUIS,1174720
2016-10-13,HET 7 UUR-JOURNAAL,993877
2016-10-13,IEDEREEN BEROEMD,899255
2016-10-13,MIDSOMER MURDERS,713456
2016-10-13,FAMILIE,710139
2016-10-13,BLOKKEN,704784
2016-10-13,NIEUWS 19U VTM,662328
2016-10-13,LITTLE BIG SHOTS MET NATHALIE MESKENS,643773
2016-10-13,DE BUURTPOLITIE,466069
2016-10-13,HET 1 UUR-JOURNAAL,401692
2016-10-13,STADION,385090
2016-10-13,HET JOURNAAL LAAT,257101
2016-10-13,NIEUWS 13U VTM,246339
2016-10-13,DE AFSPRAAK,201019
2016-10-13,NEIGHBOURS,176548
2016-10-14,THUIS,1174720
2016-10-14,HET 7 UUR-JOURNAAL,993877
2016-10-14,IEDEREEN BEROEMD,899255
2016-10-14,MIDSOMER MURDERS,713456
2016-10-14,FAMILIE,710139
2016-10-14,BLOKKEN,704784
2016-10-14,NIEUWS 19U VTM,662328
2016-10-14,LITTLE BIG SHOTS MET NATHALIE MESKENS,643773
2016-10-14,JONAS & VAN GEEL,539482
2016-10-14,DE BUURTPOLITIE,466069
2016-10-14,HET 1 UUR-JOURNAAL,401692
2016-10-14,STADION,385090
2016-10-14,POLDARK,303400
2016-10-14,HET JOURNAAL LAAT,257101
